Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
V 404 Cyg,BH,5.243287e+29,0.0,0.0,2.045754e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,6.088572e+29,0.0,0.0,3.061423e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.019141e+30,0.0,0.0,4.435962e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.019296e+30,0.0,0.0,5.046732e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.033294e+30,0.0,0.0,5.470465e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.572837e+30,0.0,0.0,6.746222e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.177505e+30,0.0,0.0,8.186424e+36,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,9.52381e+27,0.0,0.0,3.7e+32,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.738095e+28,0.0,0.0,4.473415e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.25e+28,0.0,0.0,1.832166e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,1.964286e+28,0.0,0.0,2.451043e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.440476e+28,0.0,0.0,2.349349e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,2.738095e+28,0.0,0.0,4.732529e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
V 404 Cyg,BH,3.095238e+28,0.0,0.0,8.197595e+33,0.0,0.0,None,"Corbel et al. 2008, MNRAS, 389, 1697; Rana et al. 2016, ApJ, 821, 103; Plotkin et al. 2017, ApJ, 834, 104"
Swift J1753.5-0127,BH,1.068246e+30,0.0,0.0,3.575585e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
Swift J1753.5-0127,BH,8.576602e+29,0.0,0.0,3.405769e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
Swift J1753.5-0127,BH,9.11264e+29,0.0,0.0,3.3869e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
Swift J1753.5-0127,BH,5.74326e+29,0.0,0.0,2.688765e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
Swift J1753.5-0127,BH,3.216226e+29,0.0,0.0,2.000064e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
Swift J1753.5-0127,BH,2.833342e+29,0.0,0.0,1.575522e+37,0.0,0.0,None,"Soleri et al. 2010 MNRAS 406 1471; Rushton et al. 2016 MNRAS, 463, 628, Plotkin et al. 2017, ApJ, 848, 92"
